Location,Day,Sale Hour,Sales
489,4/24/21,19,8495.0
489,4/24/21,20,3373.0
489,4/24/21,21,2088.0
489,4/24/21,22,161.0
489,4/24/21,23,0.0
489,4/25/21,0,4.0
489,4/25/21,1,0.0
489,4/25/21,2,0.0
489,4/25/21,3,0.0
489,4/25/21,4,0.0
489,4/25/21,5,0.0
489,4/25/21,6,0.0
489,4/25/21,7,4438.0
489,4/25/21,8,6477.0
489,4/25/21,9,27743.0
489,4/25/21,10,30482.0
489,4/25/21,11,32959.0
489,4/25/21,12,37919.0
489,4/25/21,13,31602.0
489,4/25/21,14,37660.0
489,4/25/21,15,26413.0
489,4/25/21,16,13584.0
489,4/25/21,17,15921.0
489,4/25/21,18,13642.0
489,4/25/21,19,1760.0
489,4/25/21,20,8071.0
489,4/25/21,21,0.0
489,4/25/21,22,0.0
489,4/25/21,23,0.0
489,4/26/21,0,0.0
489,4/26/21,1,2.0
489,4/26/21,2,0.0
489,4/26/21,3,0.0
489,4/26/21,4,0.0
489,4/26/21,5,0.0
489,4/26/21,6,2646.0
489,4/26/21,7,5235.0
489,4/26/21,8,11893.0
489,4/26/21,9,24253.0
489,4/26/21,10,20080.0
489,4/26/21,11,35753.0
489,4/26/21,12,34449.0
489,4/26/21,13,29930.0
489,4/26/21,14,32058.0
489,4/26/21,15,17809.0
489,4/26/21,16,24265.0
489,4/26/21,17,18720.0
489,4/26/21,18,9671.0
489,4/26/21,19,19797.0
489,4/26/21,20,9455.0
489,4/26/21,21,0.0
489,4/26/21,22,809.0
489,4/26/21,23,0.0
489,4/27/21,0,0.0
489,4/27/21,1,103.0
489,4/27/21,2,0.0
489,4/27/21,3,0.0
489,4/27/21,4,0.0
489,4/27/21,5,0.0
489,4/27/21,6,4402.0
489,4/27/21,7,9553.0
489,4/27/21,8,11313.0
489,4/27/21,9,18717.0
489,4/27/21,10,51896.0
489,4/27/21,11,33205.0
489,4/27/21,12,23473.0
489,4/27/21,13,28413.0
