Location,Day,Sale Hour,Sales $
489,3/12/21,15,27709
489,3/12/21,16,21873
489,3/12/21,17,26920
489,3/12/21,18,3906
489,3/12/21,19,8359
489,3/12/21,20,4828
489,3/12/21,21,1012
489,3/12/21,22,197
489,3/12/21,23,1
489,3/13/21,0,26
489,3/13/21,1,3
489,3/13/21,4,80
489,3/13/21,6,6611
489,3/13/21,7,4542
489,3/13/21,8,12037
489,3/13/21,9,38436
489,3/13/21,10,43408
489,3/13/21,11,47133
489,3/13/21,12,39652
489,3/13/21,13,45552
489,3/13/21,14,42571
489,3/13/21,15,37074
489,3/13/21,16,23907
489,3/13/21,17,19474
489,3/13/21,18,7917
489,3/13/21,19,5394
489,3/13/21,20,3978
489,3/13/21,21,1939
489,3/13/21,22,35
489,3/14/21,4,69
489,3/14/21,7,801
489,3/14/21,8,5046
489,3/14/21,9,15367
489,3/14/21,10,29119
489,3/14/21,11,26920
489,3/14/21,12,30134
489,3/14/21,13,42770
489,3/14/21,14,43486
489,3/14/21,15,38035
489,3/14/21,16,26856
489,3/14/21,17,16247
489,3/14/21,18,8301
489,3/14/21,19,41839
489,3/14/21,20,1670
489,3/15/21,6,4150
489,3/15/21,7,6025
489,3/15/21,8,13418
489,3/15/21,9,16073
489,3/15/21,10,16790
489,3/15/21,11,14227
489,3/15/21,12,25881
489,3/15/21,13,28241
489,3/15/21,14,24338
489,3/15/21,15,19348
489,3/15/21,16,17341
489,3/15/21,17,33418
489,3/15/21,18,14013
489,3/15/21,19,10494
489,3/15/21,20,4848
489,3/15/21,21,1624
489,3/15/21,22,6
489,3/16/21,0,125
489,3/16/21,5,62
489,3/16/21,6,2462
489,3/16/21,7,8731
489,3/16/21,8,7191
489,3/16/21,9,10758
489,3/16/21,10,14727
489,3/16/21,11,13185
489,3/16/21,12,22372
489,3/16/21,13,24375
489,3/16/21,14,20548
489,3/16/21,15,15468
489,3/16/21,16,8402
489,3/16/21,17,26643
489,3/16/21,18,5946
489,3/16/21,19,9011
489,3/16/21,20,7031
489,3/16/21,22,63
489,3/17/21,0,0
489,3/17/21,6,2229
489,3/17/21,7,4065
489,3/17/21,8,8206
489,3/17/21,9,22315
489,3/17/21,10,19082
489,3/17/21,11,24227
489,3/17/21,12,22902
489,3/17/21,13,25291
489,3/17/21,14,23991
489,3/17/21,15,17578
489,3/17/21,16,20182
489,3/17/21,17,14746
489,3/17/21,18,10608
489,3/17/21,19,8504
489,3/17/21,20,247
489,3/17/21,21,388
489,3/17/21,22,0
489,3/18/21,1,152
489,3/18/21,6,4757
489,3/18/21,7,728
489,3/18/21,8,10728
489,3/18/21,9,8631
489,3/18/21,10,17018
489,3/18/21,11,14491
489,3/18/21,12,18756
489,3/18/21,13,24638
489,3/18/21,14,36363
489,3/18/21,15,48302
489,3/18/21,16,22430
489,3/18/21,17,11854
489,3/18/21,18,11480
489,3/18/21,19,19021
489,3/18/21,20,5063
489,3/18/21,21,1400
489,3/19/21,0,0
489,3/19/21,4,43
489,3/19/21,6,10736
489,3/19/21,7,2713
489,3/19/21,8,13562
489,3/19/21,9,21608
489,3/19/21,10,12138
489,3/19/21,11,14848
489,3/19/21,12,21125
489,3/19/21,13,22670
489,3/19/21,14,28824
489,3/19/21,15,24325
489,3/19/21,16,38263
489,3/19/21,17,13464
489,3/19/21,18,15797
489,3/19/21,19,10338
489,3/19/21,20,6967
489,3/19/21,21,3881
489,3/19/21,22,649
489,3/20/21,1,2434
489,3/20/21,4,35
489,3/20/21,5,14
489,3/20/21,6,5212
489,3/20/21,7,3310
489,3/20/21,8,7414
489,3/20/21,9,19993
489,3/20/21,10,25682
489,3/20/21,11,35690
489,3/20/21,12,44381
489,3/20/21,13,38177
489,3/20/21,14,45878
489,3/20/21,15,52232
489,3/20/21,16,26753
489,3/20/21,17,25078
489,3/20/21,18,12987
489,3/20/21,19,6806
489,3/20/21,20,5022
489,3/20/21,21,1236
489,3/20/21,22,63
489,3/20/21,23,356
489,3/21/21,6,69
489,3/21/21,7,5856
489,3/21/21,8,5254
489,3/21/21,9,9573
489,3/21/21,10,19977
489,3/21/21,11,42449
489,3/21/21,12,43629
489,3/21/21,13,41281
489,3/21/21,14,33730
489,3/21/21,15,42045
489,3/21/21,16,27579
489,3/21/21,17,20609
489,3/21/21,18,10318
489,3/21/21,19,7204
489,3/21/21,20,366
489,3/21/21,22,5
489,3/22/21,6,2668
489,3/22/21,7,7783
489,3/22/21,8,15874
489,3/22/21,9,20058
489,3/22/21,10,22323
489,3/22/21,11,21325
489,3/22/21,12,21478
489,3/22/21,13,26315
489,3/22/21,14,39647
489,3/22/21,15,22133
489,3/22/21,16,28379
489,3/22/21,17,14198
489,3/22/21,18,11272
489,3/22/21,19,14591
489,3/22/21,20,10451
489,3/22/21,21,2139
489,3/22/21,22,202
489,3/22/21,23,73
489,3/23/21,6,4586
489,3/23/21,7,6438
489,3/23/21,8,14034
489,3/23/21,9,17815
489,3/23/21,10,29379
489,3/23/21,11,41073
489,3/23/21,12,34576
489,3/23/21,13,12955
489,3/23/21,14,34978
489,3/23/21,15,19419
489,3/23/21,16,29011
489,3/23/21,17,11488
489,3/23/21,18,17155
489,3/23/21,19,8826
489,3/23/21,20,1888
489,3/23/21,21,4049
489,3/23/21,22,155
489,3/24/21,6,17999
489,3/24/21,7,3990
489,3/24/21,8,10140
489,3/24/21,9,22426
489,3/24/21,10,25170
489,3/24/21,11,28705
489,3/24/21,12,21134
489,3/24/21,13,22430
489,3/24/21,14,36712
489,3/24/21,15,26621
489,3/24/21,16,12010
489,3/24/21,17,6234
489,3/24/21,18,15458
489,3/24/21,20,3833
489,3/24/21,21,3803
489,3/24/21,22,188
489,3/25/21,0,20
489,3/25/21,6,8484
489,3/25/21,7,4324
489,3/25/21,8,16289
489,3/25/21,9,11493
489,3/25/21,10,13226
489,3/25/21,11,23699
489,3/25/21,12,9116
489,3/25/21,13,40295
489,3/25/21,14,33865
489,3/25/21,15,28395
489,3/25/21,16,15459
489,3/25/21,17,7914
489,3/25/21,18,3749
489,3/25/21,19,3890
489,3/25/21,20,1383
489,3/25/21,21,406
489,3/26/21,0,0
489,3/26/21,3,4
489,3/26/21,5,397
489,3/26/21,6,1243
489,3/26/21,7,11099
489,3/26/21,8,61069
489,3/26/21,9,23865
489,3/26/21,10,32889
489,3/26/21,11,24302
489,3/26/21,12,24029
489,3/26/21,13,26883
489,3/26/21,14,41279
489,3/26/21,15,33516
489,3/26/21,16,33860
489,3/26/21,17,15062
489,3/26/21,18,14767
489,3/26/21,19,17743
489,3/26/21,20,8278
489,3/26/21,21,5979
489,3/26/21,22,285
489,3/27/21,0,29
489,3/27/21,6,4573
489,3/27/21,7,3707
489,3/27/21,8,12048
489,3/27/21,9,23512
489,3/27/21,10,33619
489,3/27/21,11,53859
489,3/27/21,12,43769
489,3/27/21,13,43534
489,3/27/21,14,40876
489,3/27/21,15,32791
489,3/27/21,16,22643
489,3/27/21,17,18830
489,3/27/21,18,11263
489,3/27/21,19,15125
489,3/27/21,20,4826
489,3/27/21,21,2466
489,3/27/21,22,377
489,3/27/21,23,14
489,3/28/21,6,2929
489,3/28/21,7,681
489,3/28/21,8,6510
489,3/28/21,9,16505
489,3/28/21,10,21478
489,3/28/21,11,31943
489,3/28/21,12,36244
489,3/28/21,13,25147
489,3/28/21,14,27086
489,3/28/21,15,25125
489,3/28/21,16,24890
489,3/28/21,17,12944
489,3/28/21,18,12106
489,3/28/21,19,5194
489,3/28/21,20,3239
489,3/28/21,21,2
489,3/28/21,23,48
489,3/29/21,6,6589
489,3/29/21,7,7170
489,3/29/21,8,20605
489,3/29/21,9,21007
489,3/29/21,10,16428
489,3/29/21,11,20832
489,3/29/21,12,29720
489,3/29/21,13,26098
489,3/29/21,14,21395
489,3/29/21,15,16876
489,3/29/21,16,14223
489,3/29/21,17,22377
489,3/29/21,18,17869
489,3/29/21,19,10244
489,3/29/21,20,4879
489,3/29/21,21,1502
489,3/29/21,22,80
489,3/30/21,6,4643
489,3/30/21,7,6006
489,3/30/21,8,12523
489,3/30/21,9,20315
489,3/30/21,10,21375
489,3/30/21,11,18979
489,3/30/21,12,25822
489,3/30/21,13,23866
489,3/30/21,14,18607
489,3/30/21,15,18298
489,3/30/21,16,18206
489,3/30/21,17,21355
489,3/30/21,18,12986
489,3/30/21,19,9501
489,3/30/21,20,6009
489,3/30/21,21,900
489,3/31/21,1,10
489,3/31/21,4,1
489,3/31/21,5,63
489,3/31/21,6,3001
489,3/31/21,7,4784
489,3/31/21,8,6987
489,3/31/21,9,12451
489,3/31/21,10,18389
489,3/31/21,11,22472
489,3/31/21,12,14907
489,3/31/21,13,16784
489,3/31/21,14,18017
489,3/31/21,15,16428
489,3/31/21,16,22282
489,3/31/21,17,25062
489,3/31/21,18,13228
489,3/31/21,19,14792
489,3/31/21,20,7681
489,3/31/21,21,722
489,3/31/21,22,0
489,3/31/21,23,19
489,4/1/21,0,0
489,4/1/21,6,7251
489,4/1/21,7,9690
489,4/1/21,8,17854
489,4/1/21,9,19168
489,4/1/21,10,19830
489,4/1/21,11,37820
489,4/1/21,12,23173
489,4/1/21,13,19478
489,4/1/21,14,30806
489,4/1/21,15,36884
489,4/1/21,16,11322
489,4/1/21,17,44485
489,4/1/21,18,14576
489,4/1/21,19,12313
489,4/1/21,20,6586
489,4/1/21,21,5055
489,4/1/21,22,3
489,4/2/21,0,0
489,4/2/21,5,1049
489,4/2/21,6,3007
489,4/2/21,7,15162
489,4/2/21,8,13356
489,4/2/21,9,15458
489,4/2/21,10,25260
489,4/2/21,11,24563
489,4/2/21,12,30323
489,4/2/21,13,59988
489,4/2/21,14,23924
489,4/2/21,15,32677
